Section,Discription
1,"Title and extent of operation of the Code."
2,"Punishment of offences committed within India."
3,"Punishment of offences committed beyond, but which by law may be tried within, India."
4,"Extension of Code to extra-territorial offences."
5,"Certain laws not to be affected by this Act."
6,"Definitions in the Code to be understood subject to exceptions."
7,"Sense of expression once explained."
8,"Gender."
9,"Number."
10,"Man.Woman."
11,"Person."
12,"Public."
13,"[Omitted.]."
14,"Servant of Government."
15,"[Repealed.]."
16,"[Repealed.]."
17,"Government."
18,"India."
19,"Judge."
20,"Court of Justice."
21,"Public servant."
22,"Moveable property."
23,"Wrongful gain.
Wrongful loss.
Gaining wrongfully/ Losing wrongfully."
24,"Dishonestly."
25,"Fraudulently."
26,"Reason to believe."
27,"Property in possession of wife, clerk or servant."
28,"Counterfeit."
29,"Document."
29A,"Electronic record."
30,"Valuable security."
31,"A will."
32,"Words referring to acts include illegal omissions."
33,"Act.
Omission."
34,"Acts done by several persons in furtherance of common intention."
35,"When such an act is criminal by reason of its being done with a criminal knowledge or intention."
36,"Effect caused partly by act and partly by omission."
37,"Co-operation by doing one of several acts constituting an offence."
38,"Persons concerned in criminal act may be guilty of different offences."
39,"Voluntarily."
40,"Offence."
41,"Special law."
42,"Local law."
43,"Illegal.
Legally bound to do."
44,"Injury."
45,"Life."
46,"Death."
47,"Animal."
48,"Vessel."
49,"Year.Month."
50,"Section."
51,"Oath."
52,"Good faith"
52A,"Harbour"
53,"Punishments."
53A,"Construction of reference to transportation."
54,"Commutation of sentence of death."
55,"Commutation of sentence of imprisonment for life."
55A,"Definition of 'appropriate Government'."
56,"[Repealed.]."
57,"Fractions of terms of punishment."
58,"[Repealed.]."
59,"[Repealed.]."
60,"Sentence may be (in certain cases of imprisonment) wholly or partly rigorous of simple."
61,"[Repealed.]."
62,"[Repealed.]."
63,"Amount of fine."
64,"Sentence of imprisonment for non-payment of fine."
65,"Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable."
66,"Description of imprisonment for non-payment of fine."
67,"Imprisonment for non-payment of fine, when offence punishable with fine only."
68,"Imprisonment to terminate on payment of fine."
69,"Termination of imprisonment on payment of proportional part of fine."
70,"Fine leviable within six years, of during imprisonment. Death not to discharge property from liability."
71,"Limit of punishment of offence made up of several offences."
72,"Punishment of person guilty of one of several offences, the judgment stating that is doubtful of which."
73,"Solitary confinement."
74,"Limit of solitary confinement."
75,"Enhanced punishment for certain offences under" 
76,"Act done by a person bound, or by mistake of fact believing himself bound, by law."
77,"Act of Judge when acting judicially."
78,"Act done pursuant to the judgment or order of Court."
79,"Act done by a person justified, or by mistake of fact believing himself justified, by law."
80,"Accident in doing a lawful act."
